TransactionID,UserID,TransactionAmount,IP,Location,TransactionStatus,IsFraud,Timestamp
0b8a4e60-c8e1-41d0-accc-a2f32b2e57bf,a996ac4f-f9c2-4822-b90b-42490a5038f6,12107.49,146.7.227.85,Suspicious Location,success,1,2024-06-05 15:55:49
af31e382-55eb-4dba-a0d9-02e02bd3cb2c,2bec634a-875c-4e0b-a7d3-e61964f4f31b,12037.85,191.114.103.30,North Brian,refunded,1,2024-06-25 12:43:34
8fcc28e2-f74a-41be-9a2b-73411acfedd2,d2e9eae7-028f-44f6-a1bf-e3a136c4ccdd,801.27,20.50.251.173,East Erintown,failed,0,2024-09-16 05:38:36
e062a672-565f-43e2-8657-96f513af44e0,1bbd7fd7-38de-4f98-8104-656fdc6540b5,14631.72,176.170.129.226,Suspicious Location,disputed,1,2024-04-29 11:20:29
1e5e38aa-0fe2-4f3d-823e-3209a4490591,7eb52dd5-3602-48a8-97c4-6b1b48a1b818,587.21,180.38.196.62,Suspicious Location,success,1,2024-10-22 17:51:48
21e10c0f-6057-44f5-b5a0-a4dfce94c0f5,87ee07ed-0c93-47ed-a86c-47336ad33121,741.28,77.152.132.110,Suspicious Location,disputed,1,2024-01-30 22:40:14
3ba636c6-62bb-4f40-aef4-cf6ed6766333,c0b1cb10-698d-4e49-8503-50a510476fa3,798.28,7.115.167.143,Christinehaven,refunded,0,2024-06-12 21:50:39
38717fef-3aeb-4846-b0cb-fdeaa2fe626b,a9ac9197-a97e-4214-bebd-785eca91b1a0,16065.35,207.86.38.210,Suspicious Location,failed,1,2024-04-21 18:46:01
88ae14d1-c3ec-441c-95c5-2ffa3f624f31,41680c8a-1c95-44aa-b1e2-c5c5b9e21a82,12396.19,187.92.57.46,Suspicious Location,success,1,2024-09-21 23:53:00
2e068a82-1411-43f8-89ef-56ca4f7cb341,10af44fd-de9b-4b1d-80bc-24358d8cbf5c,536.15,221.214.164.3,East Austinhaven,disputed,0,2024-03-01 15:00:48
44b4de1a-f106-4e45-8fc3-deeceac8c4a0,94c88012-cc0c-4f8a-87a0-4f18877b9be5,11796.01,43.153.191.0,Port Sharon,disputed,1,2024-01-14 21:49:06
4e6c6a11-8457-492c-a85f-c56118d57446,9acac30a-7b2d-4a3c-8506-b77d8a5bb93c,991.09,60.43.13.34,Carlosview,refunded,0,2024-07-18 07:46:56
c15df1ae-3482-4532-bf6a-385b9c24828b,de878ace-ea5e-4cf4-b45a-cd0dea503ba8,12526.74,100.43.33.9,New Alfred,success,1,2024-01-13 00:48:30
9e5d3308-bcf0-4e2f-ab23-0003e4e79376,92f8344e-5dd4-46ae-b892-3fc11750ec38,13620.71,75.57.172.93,Smithburgh,success,1,2024-11-10 21:42:45
feccaaca-59e0-4b9d-ad93-232e8fc1cb9d,3aa4b2e6-64cf-4956-a095-e799424db325,15259.26,117.166.211.112,Suspicious Location,refunded,1,2024-04-02 04:46:53
0324b85e-7ced-49a0-b931-d0fdfaa3f739,42582047-8e2a-4767-a49b-b5ebc3f82367,837.71,67.33.198.125,Suspicious Location,success,1,2024-01-23 23:48:36
c229e570-f780-4275-bf5b-10baa31bd6c4,03802367-8cb1-4968-b4b6-be423c11955a,749.1,86.15.104.7,Lake Cassandra,refunded,0,2024-10-29 15:26:31
f41c5c94-0671-4f1f-b6bf-678bc2cefd7a,41b4e74a-bea9-4876-b643-e14421b8ac05,347.62,88.110.117.241,Suspicious Location,success,1,2024-07-10 20:33:14
414176d7-d9cb-4ec4-a56b-e923b3d8b9f4,0f186a8e-1853-49bc-9dd7-854eb00c2638,627.64,124.135.222.141,Pennyfort,success,0,2024-02-19 23:17:15
19474c86-fa17-4827-9146-b8fc05e9714d,1823724b-f610-4896-b20f-af71236e91f1,355.37,109.222.226.104,Suspicious Location,success,1,2024-08-20 12:39:54
4259e709-36a0-4b6e-8694-da8b48c5e833,f0d878e6-eaaa-4fe7-b81d-1efa82f23002,13704.29,218.160.128.47,Suspicious Location,success,1,2024-11-04 04:33:18
4b10573b-dac7-4559-aae6-844486b871c7,3fa3f3c2-c928-460d-a419-eba3bbd1197d,571.74,108.211.213.45,Suspicious Location,refunded,1,2024-02-27 18:06:35
5a2a8e2f-9a3b-4100-95a5-11e6f56ff09a,23a08cee-c52c-4e7d-a7dc-4faf12f65b47,10568.71,205.78.237.130,Suspicious Location,success,1,2024-10-30 15:02:57
2b4fcfdd-6d6c-439d-aeb4-ef67792c1211,7dc08e78-5b84-448e-a292-cb9524049e6b,17464.46,108.93.219.118,Suspicious Location,disputed,1,2024-05-14 03:31:06
0cbf5aeb-2e51-49a8-94ab-81af21402f04,f0d1b1ae-60d3-4047-8c53-d8d8d3d9f352,19484.96,110.69.87.9,Suspicious Location,failed,1,2024-07-25 20:30:31
bbaee08a-282d-40d8-93d4-225b187d8f56,40379a37-7325-4a05-8882-c22fc9bc8d74,10086.92,168.211.15.18,Lake Cindy,disputed,1,2024-02-07 11:15:52
428bbd99-3526-4fe2-82c6-0f592d693b39,e4b81c62-5d0c-488e-8796-069699961e52,938.78,165.26.87.169,Lewischester,refunded,0,2024-03-10 01:14:31
51a1b7fa-ba19-4975-a0c3-75ef6498ed02,2d763438-1fa9-4c19-8d12-e24d77fa2194,10711.47,113.143.62.86,Suspicious Location,failed,1,2024-06-14 07:03:27
12a3467b-633c-49c3-a447-244c5a0d6aa1,b7b6271b-87e7-455d-adbd-63e28a1d6299,14227.26,110.50.209.73,Cooperstad,failed,1,2024-05-02 01:14:29
f28bfb7f-450c-4262-ae07-e5133f3101e9,f8a73086-6b92-4d15-acb4-69f92804fa8a,740.77,221.198.7.178,East Chadborough,disputed,0,2024-10-13 21:24:41
07d6ec25-e4b9-42bf-9c9e-bd350f3e768e,e280e076-29de-4904-894c-540183d0d483,10820.69,117.46.200.189,Suspicious Location,failed,1,2024-04-22 13:00:14
f94e5a31-ea94-47da-ba5f-c4c421be7bdf,e9a8f755-6c2c-406f-b47c-fb4f1194fa97,540.83,140.57.132.46,Suspicious Location,refunded,1,2024-07-09 04:36:46
687750f2-a609-4676-97d5-578d82657841,9aca8539-4ea7-4ae9-9ad3-25a1bf09b154,683.92,112.158.140.59,Suspicious Location,failed,1,2024-10-24 17:27:08
b13545cc-b236-4292-aade-b5cee71f6a8a,9dc676dd-8810-4e1f-853f-b720d528664e,559.49,189.174.159.222,Taylorfurt,success,0,2024-08-14 21:03:28
d7e55d77-f795-4420-99ce-e69cbb58cd1a,becc5403-de54-4061-9a46-c66fa3908387,10091.84,44.179.176.34,Suspicious Location,refunded,1,2024-03-17 09:14:02
868d647f-aa25-40dd-bff1-9a5af5a4d471,e5709f1a-75a3-4035-8e82-2b586a88428a,11149.31,2.90.15.24,Millerstad,refunded,1,2024-09-05 21:15:54
8553bcab-6484-4a97-8814-9d9c5603e055,181bc5cd-f1fd-4a80-a4f8-26d5bccdf450,466.17,94.152.201.170,Suspicious Location,failed,1,2024-10-15 17:38:18
8ed8d49b-abc5-4860-a2e0-405878ed2ede,ee3b9b10-0670-4a4e-93d6-a29eff027e9b,163.76,59.167.107.190,Suspicious Location,failed,1,2024-06-27 22:59:10
e330495e-35ce-46c9-bb1f-330cf485bf91,4ec5de58-bab2-474b-8358-e86b0a261049,10834.31,203.95.30.54,Morrisborough,disputed,1,2024-01-07 05:53:19
33769c10-ef83-4020-b83d-381d89b62e2d,06fb9dd3-2ec2-4384-a040-af0c1ef5c116,19234.86,145.167.54.104,Suspicious Location,refunded,1,2024-02-04 05:25:05
a45d42b8-b110-4ffb-abc9-caaed4ede403,ceb114f2-2cc1-460a-9e16-f2801e81eb07,16188.04,20.42.38.83,Suspicious Location,failed,1,2024-05-18 16:41:56
a127b501-57a6-456f-b4b8-229da00fee6a,eb301b59-6017-486d-b4b1-968cce9ec733,875.38,174.4.118.66,Lake Barbara,disputed,0,2024-09-14 04:16:22
fe5fa6bc-90d8-4f92-b101-16f8330fe478,a708718c-d4fa-4a24-aebc-75d9d67278e4,18682.78,126.253.15.46,Suspicious Location,disputed,1,2024-10-30 02:30:13
22c88490-c1a0-4993-b920-ece2f4d06b76,2005b0fc-ed77-4286-aa15-2b63cbea9bf9,657.61,191.163.206.102,Suspicious Location,success,1,2024-06-22 17:23:30
2d2b438a-a3b1-4292-bcf9-1ee7c7b7fd9c,62a35632-68d6-4cf1-ac86-9b86baa2d8fb,13643.06,185.8.24.164,Suspicious Location,success,1,2024-09-05 11:09:36
8d59af0c-907f-4132-a31e-1a05cd9c932e,2d339cda-8517-4be3-aa53-ca522896c047,16627.18,193.5.78.209,Suspicious Location,disputed,1,2024-01-01 03:15:36
38890fae-d5ac-40eb-a651-d620b7e2101d,2523ab21-1f78-4680-977d-118adeef12e5,682.41,178.15.121.254,Lisastad,disputed,0,2024-09-16 08:03:36
cab63271-8193-4588-b503-da21f13f484d,05d45224-9ffc-4e99-88aa-9e7bfb1c73c1,350.23,32.190.187.10,Suspicious Location,failed,1,2024-01-19 17:22:42
690dfe7e-df55-4fb6-9d29-93b97906ca62,fb117c45-16dd-477e-bc31-8fd12611f0bd,233.77,190.53.57.216,Robertstad,failed,0,2024-10-02 22:25:54
e4cb1fb2-43b3-4306-89ae-c1d2c9713058,cc1338b7-8763-43be-88b5-9091b8c429ba,11172.49,204.239.102.179,Suspicious Location,failed,1,2024-11-15 12:56:23
04f74ec1-8bc9-443b-9e4a-b9cdd7f12f8d,45399729-a72b-451e-b834-b888bc443f91,10490.66,163.117.197.61,Suspicious Location,success,1,2024-04-27 15:11:59
20f0acd1-d38e-42f8-a151-41ae1d1baa22,6bdb2c1f-8a50-4050-9a1d-40e4d800dfec,640.77,212.23.146.151,Suspicious Location,failed,1,2024-07-20 11:28:26
b16b0c6c-0024-44ce-b25c-c858cc904614,e095b670-62a9-49a2-b020-76e30ccc20d2,182.33,79.6.87.60,Suspicious Location,refunded,1,2024-05-09 11:00:34
